subsetor,admissoes_mes,desligamentos_mes,saldo_mes,variacao_mes,admissoes_ano,desligamentos_ano,saldo_ano,variacao_ano,admissoes_12m,desligamentos_12m,saldo_12m,variacao_12m,competencia
TOTAL,398189,362033,36156,0.3,3789845,3539609,250236,2.09,4853193,4683557,169636,1.41,Setembro/2019
1.EXTRATIVA MINERAL,260,235,25,0.15,2244,2340,-96,-0.58,2830,3112,-282,-1.68,Setembro/2019
2.INDÚSTRIA DE TRANSFORMAÇÃO,58035,52410,5625,0.24,571299,535043,36256,1.54,709626,723128,-13502,-0.56,Setembro/2019
Indústria de produtos minerais não metálicos,2794,2217,577,0.53,24753,23087,1666,1.56,31306,30529,777,0.72,Setembro/2019
Indústria metalúrgica,4667,4781,-114,-0.06,47992,47356,636,0.32,60457,60807,-350,-0.17,Setembro/2019
Indústria mecânica,6122,6005,117,0.05,58879,57807,1072,0.47,76568,74871,1697,0.74,Setembro/2019
Indústria do material elétrico e de comunicações,1897,1960,-63,-0.07,17941,18559,-618,-0.66,22207,24106,-1899,-2.01,Setembro/2019
Indústria do material de transporte,2940,3566,-626,-0.27,31114,32880,-1766,-0.75,39096,43771,-4675,-1.96,Setembro/2019
Indústria da madeira e do mobiliário,2490,2057,433,0.54,22218,22423,-205,-0.25,28336,29606,-1270,-1.56,Setembro/2019
"Indústria do papel, papelão, editorial e gráfica",2920,2712,208,0.16,25053,27232,-2179,-1.64,31431,35707,-4276,-3.17,Setembro/2019
"Indústria da borracha, fumo, couros, peles, similares, ind. diversas",2894,2777,117,0.09,28550,27421,1129,0.91,35119,36397,-1278,-1.02,Setembro/2019
"Indústria química de produtos farmacêuticos, veterinários, perfumaria",8014,6278,1736,0.44,81029,73437,7592,1.95,99021,98536,485,0.12,Setembro/2019
Indústria têxtil do vestuário e artefatos de tecidos,6986,6413,573,0.25,66075,64246,1829,0.8,80837,86004,-5167,-2.2,Setembro/2019
Indústria de calçados,1663,1151,512,1.39,17129,14739,2390,6.85,20103,23006,-2903,-7.23,Setembro/2019
"Indústria de produtos alimentícios, bebidas e álcool etílico",14648,12493,2155,0.42,150566,125856,24710,4.98,185145,179788,5357,1.04,Setembro/2019
3.SERV INDUST DE UTIL PÚBLICA,1773,2102,-329,-0.31,23494,18694,4800,4.68,27173,22917,4256,4.13,Setembro/2019
4.CONSTRUÇÃO CIVIL,31125,27504,3621,0.67,289008,264885,24123,4.63,366688,353374,13314,2.5,Setembro/2019
5.COMÉRCIO,93284,88349,4935,0.19,833075,840407,-7332,-0.28,1128387,1098805,29582,1.15,Setembro/2019
Comércio varejista,77278,73493,3785,0.18,688543,702280,-13737,-0.66,940059,919072,20987,1.02,Setembro/2019
Comércio atacadista,16006,14856,1150,0.22,144532,138127,6405,1.25,188328,179733,8595,1.69,Setembro/2019
6.SERVIÇOS,199130,177282,21848,0.37,1864972,1713602,151370,2.62,2375529,2242996,132533,2.28,Setembro/2019
"Instituições de crédito, seguros e capitalização",4041,4104,-63,-0.02,33963,30341,3622,1.39,42731,38542,4189,1.61,Setembro/2019
"Com. e administração de imóveis, valores mobiliários, serv. técnico",85750,73597,12153,0.64,766112,701389,64723,3.53,982718,909465,73253,4.01,Setembro/2019
Transportes e comunicações,17301,15772,1529,0.23,168637,152901,15736,2.4,212692,207588,5104,0.77,Setembro/2019
"Serviços de alojamento, alimentação, reparação, manutenção, redação",62511,58969,3542,0.2,598683,587416,11267,0.63,775639,759951,15688,0.87,Setembro/2019
"Serviços médicos, odontológicos e veterinários",18207,15731,2476,0.34,164401,140459,23942,3.37,210316,183845,26471,3.74,Setembro/2019
Ensino,11320,9109,2211,0.4,133176,101096,32080,6.15,151433,143605,7828,1.43,Setembro/2019
7.ADMINISTRAÇÃO PÚBLICA,1651,1529,122,0.05,27469,19077,8392,3.58,30992,33139,-2147,-0.88,Setembro/2019
8.AGROPECUÁRIA,12931,12622,309,0.08,178284,145561,32723,9.67,211968,206086,5882,1.61,Setembro/2019
